333.00,Right-Common-IliacA
334.00,Left-External-IliacA
335.00,Right-External-IliacA
336.00,Left-Internal-IliacA
337.00,Right-Internal-IliacA
338.00,Left-Lateral-SacralA
339.00,Right-Lateral-SacralA
340.00,Left-ObturatorA
341.00,Right-ObturatorA
342.00,Left-Internal-PudendalA
343.00,Right-Internal-PudendalA
344.00,Left-UmbilicalA
345.00,Right-UmbilicalA
346.00,Left-Inf-RectalA
347.00,Right-Inf-RectalA
348.00,Left-Common-IliacV
349.00,Right-Common-IliacV
350.00,Left-External-IliacV
351.00,Right-External-IliacV
352.00,Left-Internal-IliacV
353.00,Right-Internal-IliacV
354.00,Left-ObturatorV
355.00,Right-ObturatorV
356.00,Left-Internal-PudendalV
357.00,Right-Internal-PudendalV
358.00,Pos-Lymph
359.00,Neg-Lymph
400.00,V1
401.00,V2
402.00,BA44
403.00,BA45
404.00,BA4a
405.00,BA4p
406.00,BA6
407.00,BA2
408.00,BA1_old
409.00,BAun2
410.00,BA1
411.00,BA2b
412.00,BA3a
413.00,BA3b
414.00,MT
415.00,AIPS_AIP_l
416.00,AIPS_AIP_r
417.00,AIPS_VIP_l
418.00,AIPS_VIP_r
419.00,IPL_PFcm_l
420.00,IPL_PFcm_r
421.00,IPL_PF_l
422.00,IPL_PFm_l
423.00,IPL_PFm_r
424.00,IPL_PFop_l
425.00,IPL_PFop_r
426.00,IPL_PF_r
427.00,IPL_PFt_l
428.00,IPL_PFt_r
429.00,IPL_PGa_l
430.00,IPL_PGa_r
431.00,IPL_PGp_l
432.00,IPL_PGp_r
433.00,Visual_V3d_l
434.00,Visual_V3d_r
435.00,Visual_V4_l
436.00,Visual_V4_r
437.00,Visual_V5_b
438.00,Visual_VP_l
439.00,Visual_VP_r
500.00,right_CA2/3
501.00,right_alveus
502.00,right_CA1
503.00,right_fimbria
504.00,right_presubiculum
505.00,right_hippocampal_fissure
506.00,right_CA4/DG
507.00,right_subiculum
508.00,right_fornix
550.00,left_CA2/3
551.00,left_alveus
552.00,left_CA1
553.00,left_fimbria
554.00,left_presubiculum
555.00,left_hippocampal_fissure
556.00,left_CA4/DG
557.00,left_subiculum
558.00,left_fornix
600.00,Tumor
701.00,CSF-FSL-FAST
702.00,GrayMatter-FSL-FAST
703.00,WhiteMatter-FSL-FAST
999.00,SUSPICIOUS
1000.00,ctx-lh-unknown
1001.00,ctx-lh-bankssts
1002.00,ctx-lh-caudalanteriorcingulate
1003.00,ctx-lh-caudalmiddlefrontal
1004.00,ctx-lh-corpuscallosum
1005.00,ctx-lh-cuneus
1006.00,ctx-lh-entorhinal
1007.00,ctx-lh-fusiform
1008.00,ctx-lh-inferiorparietal
1009.00,ctx-lh-inferiortemporal
1010.00,ctx-lh-isthmuscingulate
1011.00,ctx-lh-lateraloccipital
1012.00,ctx-lh-lateralorbitofrontal
1013.00,ctx-lh-lingual
1014.00,ctx-lh-medialorbitofrontal
1015.00,ctx-lh-middletemporal
1016.00,ctx-lh-parahippocampal
1017.00,ctx-lh-paracentral
1018.00,ctx-lh-parsopercularis
1019.00,ctx-lh-parsorbitalis
1020.00,ctx-lh-parstriangularis
1021.00,ctx-lh-pericalcarine
1022.00,ctx-lh-postcentral
1023.00,ctx-lh-posteriorcingulate
1024.00,ctx-lh-precentral
1025.00,ctx-lh-precuneus
1026.00,ctx-lh-rostralanteriorcingulate
1027.00,ctx-lh-rostralmiddlefrontal
1028.00,ctx-lh-superiorfrontal
1029.00,ctx-lh-superiorparietal
1030.00,ctx-lh-superiortemporal
1031.00,ctx-lh-supramarginal
1032.00,ctx-lh-frontalpole
1033.00,ctx-lh-temporalpole
1034.00,ctx-lh-transversetemporal
1035.00,ctx-lh-insula
2000.00,ctx-rh-unknown
2001.00,ctx-rh-bankssts
2002.00,ctx-rh-caudalanteriorcingulate
2003.00,ctx-rh-caudalmiddlefrontal
2004.00,ctx-rh-corpuscallosum
2005.00,ctx-rh-cuneus
2006.00,ctx-rh-entorhinal
2007.00,ctx-rh-fusiform
2008.00,ctx-rh-inferiorparietal
2009.00,ctx-rh-inferiortemporal
2010.00,ctx-rh-isthmuscingulate
2011.00,ctx-rh-lateraloccipital
2012.00,ctx-rh-lateralorbitofrontal
2013.00,ctx-rh-lingual
2014.00,ctx-rh-medialorbitofrontal
2015.00,ctx-rh-middletemporal
2016.00,ctx-rh-parahippocampal
2017.00,ctx-rh-paracentral
2018.00,ctx-rh-parsopercularis
2019.00,ctx-rh-parsorbitalis
2020.00,ctx-rh-parstriangularis
2021.00,ctx-rh-pericalcarine
2022.00,ctx-rh-postcentral
2023.00,ctx-rh-posteriorcingulate
2024.00,ctx-rh-precentral
2025.00,ctx-rh-precuneus
2026.00,ctx-rh-rostralanteriorcingulate
2027.00,ctx-rh-rostralmiddlefrontal
2028.00,ctx-rh-superiorfrontal
2029.00,ctx-rh-superiorparietal
2030.00,ctx-rh-superiortemporal
2031.00,ctx-rh-supramarginal
2032.00,ctx-rh-frontalpole
2033.00,ctx-rh-temporalpole
2034.00,ctx-rh-transversetemporal
2035.00,ctx-rh-insula
3000.00,wm-lh-unknown
3001.00,wm-lh-bankssts
3002.00,wm-lh-caudalanteriorcingulate
3003.00,wm-lh-caudalmiddlefrontal
3004.00,wm-lh-corpuscallosum
3005.00,wm-lh-cuneus
3006.00,wm-lh-entorhinal
3007.00,wm-lh-fusiform
3008.00,wm-lh-inferiorparietal
3009.00,wm-lh-inferiortemporal
3010.00,wm-lh-isthmuscingulate
3011.00,wm-lh-lateraloccipital
3012.00,wm-lh-lateralorbitofrontal
3013.00,wm-lh-lingual
3014.00,wm-lh-medialorbitofrontal
3015.00,wm-lh-middletemporal
3016.00,wm-lh-parahippocampal
3017.00,wm-lh-paracentral
3018.00,wm-lh-parsopercularis
3019.00,wm-lh-parsorbitalis
3020.00,wm-lh-parstriangularis
3021.00,wm-lh-pericalcarine
3022.00,wm-lh-postcentral
3023.00,wm-lh-posteriorcingulate
3024.00,wm-lh-precentral
3025.00,wm-lh-precuneus
3026.00,wm-lh-rostralanteriorcingulate
3027.00,wm-lh-rostralmiddlefrontal
3028.00,wm-lh-superiorfrontal
3029.00,wm-lh-superiorparietal
3030.00,wm-lh-superiortemporal
3031.00,wm-lh-supramarginal
3032.00,wm-lh-frontalpole
3033.00,wm-lh-temporalpole
3034.00,wm-lh-transversetemporal
3035.00,wm-lh-insula
4000.00,wm-rh-unknown
4001.00,wm-rh-bankssts
4002.00,wm-rh-caudalanteriorcingulate
4003.00,wm-rh-caudalmiddlefrontal
4004.00,wm-rh-corpuscallosum
4005.00,wm-rh-cuneus
4006.00,wm-rh-entorhinal
4007.00,wm-rh-fusiform
4008.00,wm-rh-inferiorparietal
4009.00,wm-rh-inferiortemporal
4010.00,wm-rh-isthmuscingulate
4011.00,wm-rh-lateraloccipital
4012.00,wm-rh-lateralorbitofrontal
4013.00,wm-rh-lingual
4014.00,wm-rh-medialorbitofrontal
4015.00,wm-rh-middletemporal
4016.00,wm-rh-parahippocampal
4017.00,wm-rh-paracentral
4018.00,wm-rh-parsopercularis
4019.00,wm-rh-parsorbitalis
4020.00,wm-rh-parstriangularis
4021.00,wm-rh-pericalcarine
4022.00,wm-rh-postcentral
4023.00,wm-rh-posteriorcingulate
4024.00,wm-rh-precentral
4025.00,wm-rh-precuneus
4026.00,wm-rh-rostralanteriorcingulate
4027.00,wm-rh-rostralmiddlefrontal
4028.00,wm-rh-superiorfrontal
4029.00,wm-rh-superiorparietal
4030.00,wm-rh-superiortemporal
4031.00,wm-rh-supramarginal
4032.00,wm-rh-frontalpole
4033.00,wm-rh-temporalpole
4034.00,wm-rh-transversetemporal
4035.00,wm-rh-insula
1100.00,ctx-lh-Unknown
1101.00,ctx-lh-Corpus_callosum
1102.00,ctx-lh-G_and_S_Insula_ONLY_AVERAGE
1103.00,ctx-lh-G_cingulate-Isthmus
1104.00,ctx-lh-G_cingulate-Main_part
1200.00,ctx-lh-G_cingulate-caudal_ACC
1201.00,ctx-lh-G_cingulate-rostral_ACC
1202.00,ctx-lh-G_cingulate-posterior
1205.00,ctx-lh-S_cingulate-caudal_ACC
1206.00,ctx-lh-S_cingulate-rostral_ACC
1207.00,ctx-lh-S_cingulate-posterior
1210.00,ctx-lh-S_pericallosal-caudal
1211.00,ctx-lh-S_pericallosal-rostral
1212.00,ctx-lh-S_pericallosal-posterior
1105.00,ctx-lh-G_cuneus
1106.00,ctx-lh-G_frontal_inf-Opercular_part
1107.00,ctx-lh-G_frontal_inf-Orbital_part
1108.00,ctx-lh-G_frontal_inf-Triangular_part
1109.00,ctx-lh-G_frontal_middle
1110.00,ctx-lh-G_frontal_superior
1111.00,ctx-lh-G_frontomarginal
1112.00,ctx-lh-G_insular_long
1113.00,ctx-lh-G_insular_short
1114.00,ctx-lh-G_and_S_occipital_inferior
1115.00,ctx-lh-G_occipital_middle
1116.00,ctx-lh-G_occipital_superior
1117.00,ctx-lh-G_occipit-temp_lat-Or_fusiform
1118.00,ctx-lh-G_occipit-temp_med-Lingual_part
1119.00,ctx-lh-G_occipit-temp_med-Parahippocampal_part
1120.00,ctx-lh-G_orbital
1121.00,ctx-lh-G_paracentral
1122.00,ctx-lh-G_parietal_inferior-Angular_part
1123.00,ctx-lh-G_parietal_inferior-Supramarginal_part
1124.00,ctx-lh-G_parietal_superior
1125.00,ctx-lh-G_postcentral
1126.00,ctx-lh-G_precentral
1127.00,ctx-lh-G_precuneus
1128.00,ctx-lh-G_rectus
1129.00,ctx-lh-G_subcallosal
1130.00,ctx-lh-G_subcentral
1131.00,ctx-lh-G_temporal_inferior
1132.00,ctx-lh-G_temporal_middle
1133.00,ctx-lh-G_temp_sup-G_temp_transv_and_interm_S
1134.00,ctx-lh-G_temp_sup-Lateral_aspect
1135.00,ctx-lh-G_temp_sup-Planum_polare
1136.00,ctx-lh-G_temp_sup-Planum_tempolare
1137.00,ctx-lh-G_and_S_transverse_frontopolar
1138.00,ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal
1139.00,ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical
1140.00,ctx-lh-Lat_Fissure-post_sgt
1141.00,ctx-lh-Medial_wall
